Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
Estimated Visits,vectormagic.com,0.010234467%,-2.88%,34,212,00:06:15,5.34,33.28%,
582952,keyhero.com,0.010204658%,9.99%,"61,006",00:03:57,2.89,25.41%,Yes
361761,procoretech.com,0.010073823%,28.96%,"65,521",00:12:51,12.13,12.17%,
1062277,rabbitmq.com,0.010058446%,29.35%,"38,458",00:05:36,3.08,47.24%,
345533,gotomycard.com,0.010004329%,-3.44%,"59,995",00:03:46,6.06,9.54%,
672013,screenleap.com,0.009998162%,2.52%,"52,503",00:02:48,2.66,32.91%,
773600,inspectlet.com,0.009923354%,0.26%,"29,691",00:05:36,9.87,24.54%,
1066598,lacie.com,0.009901460%,-9.80%,"26,748",00:03:45,4.49,38.68%,
5239133,truecaller.com,0.009845200%,27.38%,"7,122",00:02:49,2.85,36.16%,Yes
65401036,baixaki.com.br,0.009780278%,-19.89%,364,00:06:51,4.02,33.93%,Yes
1852922,whmcs.com,0.009700269%,-8.23%,"16,647",00:04:40,4.41,40.53%,
2270063,joomlart.com,0.009692438%,-12.86%,"13,283",00:04:51,5.77,44.79%,
1117157,unheap.com,0.009620105%,43.74%,"49,689",00:03:36,2.80,49.27%,
683752,pololu.com,0.009614345%,12.06%,"45,574",00:04:45,4.90,45.72%,
1097925,oldversion.com,0.009533269%,-3.43%,"24,067",00:02:58,4.27,25.45%,Yes
1073360,aescripts.com,0.009428276%,7.43%,"39,588",00:03:46,3.58,50.52%,
1208939,examcollection.com,0.009371272%,-11.69%,"23,176",00:04:45,5.47,27.81%,
896243,myendnoteweb.com,0.009358348%,8.80%,"39,365",00:07:58,5.46,27.27%,
1467821,responsinator.com,0.009051426%,3.94%,"24,319",00:05:45,4.12,26.06%,
1132438,mp3fiber.com,0.009013379%,31.88%,"37,059",00:09:50,4.09,28.63%,
1817865,freenas.org,0.008899204%,11.83%,"21,788",00:03:34,2.84,35.81%,
620122,molex.com,0.008884511%,20.52%,"51,054",00:03:51,4.38,42.25%,
Estimated Visits,maps4pc.com,0.008882283%,-41.96%,36,027,00:00:41,1.30,76.67%,
448226,c2mtrax.com,0.008760385%,-1.48%,"74,308",00:03:45,4.33,34.54%,
718066,3dcart.com,0.008621110%,-13.32%,"36,088",00:03:59,4.09,46.84%,
752879,codez4mac.com,0.008490333%,19.42%,"58,605",00:02:41,4.26,48.81%,
276250,myaccess.com,0.008067613%,33.75%,"86,101",00:10:44,8.55,17.35%,
282235,onevanilla.com,0.008002115%,-4.75%,"86,937",00:06:31,3.46,12.77%,
419376,bluebeam.com,0.007984759%,35.07%,"89,012",00:02:46,2.77,47.03%,
540501,mywifiext.net,0.007982144%,-5.77%,"42,917",00:02:46,4.97,49.03%,
1895321,bxslider.com,0.007915200%,22.02%,"22,402",00:04:58,3.71,47.19%,
1144307,maxon.net,0.007901845%,-5.03%,"30,900",00:02:35,2.70,45.20%,
912350,mycolorscreen.com,0.007857442%,-11.75%,"33,262",00:03:37,5.61,46.81%,Yes
506316,drobo.com,0.007843264%,26.96%,"67,212",00:03:34,2.88,34.38%,
428890,dataloader.io,0.007834532%,18.03%,"69,436",00:08:41,5.15,21.91%,
1794569,weiyun.com,0.007718172%,662.13%,"35,687",00:04:31,4.05,17.13%,
643585,gigabyte.us,0.007613760%,-25.61%,"46,690",00:03:44,4.08,32.89%,
880866,amcharts.com,0.007551117%,22.94%,"34,155",00:04:43,10.50,30.48%,
931508,creativecrash.com,0.007534168%,-2.78%,"35,296",00:02:57,4.11,50.68%,Yes
253883,tangierweb.com,0.007453523%,26.93%,"106,316",00:03:51,6.19,8.90%,
428022,nmatrix.co.za,0.007354447%,41.99%,"88,549",00:04:45,8.93,15.75%,
1076753,rocketdock.com,0.007335639%,7.09%,"24,225",00:03:59,7.76,44.48%,Yes
592174,pygame.org,0.007245478%,56.67%,"83,551",00:05:39,3.79,36.09%,
330119,timeoffmanager.com,0.007185070%,6.39%,"84,159",00:02:59,4.16,15.47%,
555524,tenable.com,0.007137325%,20.11%,"62,823",00:03:34,2.86,50.68%,
Estimated Visits,pro-tools-expert.com,0.007135914%,27.49%,102,767,00:01:31,1.53,74.03%,
709238,cmake.org,0.007056221%,20.38%,"58,125",00:05:48,2.75,46.72%,
254636,tnvipsuite.com,0.007045252%,9.69%,"82,691",00:07:32,4.78,8.90%,
1798846,casio.com,0.006979099%,-6.23%,"19,386",00:03:51,5.79,38.05%,
1298361,codeforces.com,0.006957055%,28.74%,"22,455",00:08:46,8.69,40.87%,
888882,insight.com,0.006911430%,-0.47%,"33,273",00:02:57,3.41,50.04%,
780924,bbpress.org,0.006874715%,-5.62%,"45,056",00:04:31,2.91,47.47%,
637542,extensis.com,0.006869026%,52.29%,"70,656",00:03:35,3.39,49.08%,
435653,watchin-it.nu,0.006862660%,36.00%,"64,595",00:03:46,3.48,19.51%,
844524,fluidui.com,0.006672642%,9.78%,"34,200",00:04:42,6.73,26.20%,
327988,system76.com,0.006644102%,-7.29%,"78,798",00:02:59,3.69,18.65%,
438383,pythontutor.com,0.006635318%,-18.20%,"48,335",00:08:54,8.45,28.95%,
1608083,softgozar.com,0.006574485%,-25.53%,"22,044",00:04:31,2.77,42.56%,
235160,meetingwizard.com,0.006560366%,5.62%,"103,240",00:05:39,4.15,24.73%,Yes
493330,circuitlab.com,0.006556256%,20.39%,"72,757",00:03:41,4.07,43.03%,
231593,centresuite.com,0.006331944%,-6.67%,"72,328",00:10:43,8.70,9.73%,
309855,shi.com,0.006291481%,34.82%,"86,447",00:04:36,6.03,29.36%,
438470,fugtrup.tumblr.com,0.006290960%,40.04%,"77,757",00:02:40,5.13,44.57%,
461076,checkvist.com,0.006282262%,15.99%,"88,655",00:03:59,3.20,27.43%,
443513,tagul.com,0.006216157%,-17.70%,"54,241",00:05:59,5.81,33.10%,Yes
217234,minutemenu.com,0.006182832%,-31.84%,"44,210",00:13:50,19.32,11.70%,
932589,startssl.com,0.006041814%,-5.33%,"33,001",00:06:42,4.42,33.92%,
Estimated Visits,download.oracle.com,0.006040664%,26.14%,75,411,00:01:11,1.44,72.85%,
708537,vipsociety.com,0.006035631%,6.22%,"21,915",00:33:37,90.74,5.30%,
7752092,chrome.com,0.005987167%,35.47%,"6,225",00:02:58,4.04,43.02%,
363612,newztown.co.za,0.005843550%,46.20%,"109,821",00:06:54,5.14,24.79%,Yes
198538,sharenote.com,0.005838850%,34.69%,"102,124",00:18:54,11.17,8.66%,
494771,codility.com,0.005810418%,16.61%,"52,101",00:07:42,5.33,41.80%,
1294074,codeblocks.org,0.005730599%,-10.19%,"30,102",00:02:50,2.91,26.37%,Yes
193312,outreachtime.com,0.005698612%,8.07%,"82,323",00:20:45,20.22,2.79%,
633452,goodsync.com,0.005696496%,-8.09%,"55,583",00:03:37,2.85,41.53%,
603917,gingadaddy.com,0.005673795%,15.08%,"65,824",00:03:42,3.17,17.81%,
1806782,pfsense.org,0.005659269%,34.46%,"22,653",00:03:42,3.14,28.53%,
321942,fueled.com,0.005598279%,17.51%,"94,087",00:02:58,3.94,36.55%,
1318980,gaaks.com,0.005594604%,-4.57%,"27,575",00:04:33,4.82,36.78%,
212310,certify.com,0.005568141%,16.80%,"82,445",00:10:58,12.49,13.42%,
217282,tutorpanel.com,0.005512199%,-13.44%,"73,144",00:14:32,11.09,13.33%,
360469,avalara.com,0.005486018%,,"84,463",00:02:56,3.17,41.80%,
433604,frontendmasters.com,0.005467655%,8.96%,"83,513",00:06:55,4.27,39.76%,
239936,viper.com,0.005398963%,17.11%,"108,213",00:03:57,4.83,29.44%,
294974,yorehab.com,0.005377325%,-12.50%,"71,998",00:13:52,6.70,13.61%,Yes
1459591,apktops.ir,0.005330719%,-21.08%,"24,589",00:05:43,4.13,50.26%,
Estimated Visits,iskysoft.us,0.005329537%,8.81%,55,746,00:02:04,1.19,65.13%,
250676,accessmcd.com,0.005238802%,-9.42%,"93,131",00:05:49,3.93,14.99%,
471312,myfidelio.net,0.005231372%,10.71%,"64,461",00:02:59,3.17,24.79%,
241985,onbase.com,0.005200766%,32.99%,"126,697",00:04:42,4.80,42.63%,
729637,enterprisedb.com,0.005185979%,46.64%,"48,960",00:02:53,3.95,35.97%,
345983,iosnoops.com,0.005170055%,-0.96%,"74,347",00:02:31,4.14,35.58%,Yes
251233,intelloware.com,0.005144249%,17.44%,"55,674",00:10:41,23.53,18.16%,
177446,reviewbuzz.com,0.005122378%,46.57%,"147,278",00:09:35,11.72,26.16%,
609614,duomi.com,0.005068965%,21.84%,"56,579",00:02:39,3.07,48.38%,
349925,harlequin.com,0.005066960%,1.87%,"63,800",00:05:55,6.93,43.84%,
535277,x-plane.com,0.005048826%,7.38%,"59,380",00:02:57,3.23,42.32%,
171476,hrconnection.com,0.005033503%,13.77%,"131,293",00:06:43,5.61,26.77%,
252233,typefrag.com,0.004998670%,8.98%,"111,098",00:03:33,4.72,48.75%,
404631,carrier.com,0.004994931%,11.85%,"65,012",00:03:45,3.14,39.02%,
1783526,driverguide.com,0.004991865%,7.29%,"20,811",00:02:44,2.52,39.74%,Yes
368769,certiport.com,0.004986191%,2.25%,"58,158",00:04:40,7.75,34.56%,
623736,tomsplanner.com,0.004973227%,-5.10%,"68,679",00:04:43,2.67,30.82%,
236401,smartmusic.com,0.004881885%,-20.78%,"89,497",00:03:34,2.80,44.36%,
199040,timeforge.com,0.004817377%,80.30%,"150,391",00:27:38,8.75,8.03%,
969306,vaadin.com,0.004781505%,32.49%,"31,114",00:05:49,4.00,43.88%,
181268,journeyed.com,0.004776897%,-21.59%,"96,783",00:03:47,5.59,32.13%,
356573,ordoro.com,0.004766397%,33.39%,"57,047",00:02:56,2.65,39.42%,
183382,filethis.com,0.004735097%,-7.32%,"110,616",00:05:33,5.45,23.76%,
Estimated Visits,scaledagileframework.com,0.004728110%,12.52%,117,644,00:03:13,2.32,63.92%,
386181,clipart.com,0.004633426%,-8.89%,"39,441",00:02:47,13.39,44.68%,
305498,iclipart.com,0.004630449%,16.60%,"55,598",00:03:47,17.66,45.80%,
767220,dokuwiki.org,0.004587734%,36.06%,"50,180",00:05:31,3.61,47.55%,
456736,conceptboard.com,0.004586390%,-3.53%,"73,168",00:04:40,4.24,37.90%,
190100,realitytvgifs.tumblr.com,0.004535920%,81.20%,"172,998",00:03:32,6.18,37.22%,Yes
2779817,gratisprogramas.org,0.004520890%,3.26%,"13,378",00:06:32,4.39,34.87%,Yes
663374,nagios.com,0.004481929%,44.50%,"55,468",00:03:36,5.19,36.21%,
158236,mycampusloan.com,0.004464152%,17.43%,"111,328",00:04:40,10.17,8.78%,
306340,desktoppr.co,0.004427497%,174.97%,"100,291",00:04:50,29.65,20.86%,
151306,xjt.com,0.004414510%,6.66%,"127,773",00:09:31,7.95,6.69%,
217718,robotc.net,0.004366239%,33.35%,"150,925",00:03:41,2.88,45.15%,
153875,gigbuilder.com,0.004349045%,-12.38%,"96,727",00:11:53,10.06,18.51%,
1379339,alfresco.com,0.004317995%,6.27%,"24,239",00:03:35,3.33,44.95%,
153402,mynexia.com,0.004308486%,16.02%,"142,052",00:08:48,6.69,7.47%,
240030,clickykeyboards.com,0.004306066%,379.41%,"395,115",00:02:34,4.29,43.23%,
320727,graffletopia.com,0.004273346%,1.96%,"60,813",00:03:54,9.46,25.11%,
834888,zyxel.com,0.004227960%,6.07%,"35,370",00:02:59,3.61,41.55%,
641335,navicat.com,0.004207491%,35.47%,"62,858",00:02:45,3.20,31.38%,
Estimated Visits,mitre.org,0.004205484%,28.51%,30,484,00:01:45,2.72,67.33%,
148966,apgo.org,0.004176961%,61.89%,"186,342",00:10:34,6.22,29.16%,
148060,compassmanager.com,0.004176090%,15.29%,"94,233",00:09:38,17.70,28.47%,
238893,yakitome.com,0.004121340%,-6.81%,"77,001",00:03:51,6.84,7.98%,
475775,postmarkapp.com,0.004078815%,3.99%,"61,139",00:05:37,6.66,44.63%,
222317,securitymetrics.com,0.004077884%,22.79%,"102,320",00:08:46,7.20,39.85%,
263283,maxkeyboard.com,0.004018470%,62.84%,"183,327",00:02:51,3.54,45.58%,
652954,createjs.com,0.004003342%,11.96%,"41,419",00:03:59,7.46,36.28%,
539579,civicrm.org,0.003994227%,6.28%,"57,463",00:03:32,5.88,49.75%,
504415,osticket.com,0.003979287%,11.28%,"66,731",00:04:32,3.18,43.11%,
388485,roaringapps.com,0.003941049%,,"337,302",00:03:37,4.04,28.21%,Yes
279363,extrasolar.com,0.003906923%,31.83%,"83,906",00:04:50,10.62,11.55%,
673735,burnaware.com,0.003899165%,-3.79%,"62,150",00:02:51,2.69,33.13%,Yes
636686,mobilephonetalk.com,0.003891148%,14.30%,"54,864",00:07:53,8.13,11.78%,
133185,bpdriverrewards.com,0.003858847%,-52.74%,"80,589",00:04:33,6.65,15.86%,
245157,mozenda.com,0.003809785%,-1.41%,"94,024",00:04:59,5.14,44.44%,
175058,techvalidate.com,0.003799170%,32.12%,"106,159",00:06:39,12.97,47.11%,
305802,nomachine.com,0.003787766%,-18.05%,"94,755",00:03:49,3.10,45.93%,
152069,hrci.org,0.003720633%,18.71%,"140,659",00:04:34,3.53,37.46%,
220472,iblocklist.com,0.003718557%,23.65%,"123,254",00:02:34,4.34,39.26%,
Estimated Visits,squared5.com,0.003717045%,15.87%,129,305,00:00:40,1.25,54.95%,
304309,compilr.com,0.003680286%,21.23%,"96,380",00:02:58,5.37,14.88%,
217309,slbloodlines.com,0.003658188%,-24.41%,"76,010",00:07:31,6.09,21.39%,
456813,whited00r.com,0.003642045%,-17.56%,"55,113",00:05:42,3.59,46.04%,Yes
128606,caltopo.com,0.003613131%,4.76%,"67,622",00:10:40,47.23,28.18%,
590431,outsource.com,0.003611260%,130.71%,"100,215",00:09:59,13.92,38.39%,
129475,disposolutions.com,0.003604873%,4.35%,"125,635",00:09:52,8.33,7.08%,
197799,coderbyte.com,0.003583792%,6.78%,"90,992",00:10:59,9.90,16.53%,
1274521,scriptmafia.org,0.003580485%,-12.58%,"31,224",00:03:59,3.42,42.27%,
397019,pushover.net,0.003573215%,12.10%,"86,956",00:04:37,4.47,40.63%,
442934,ocaholic.ch,0.003564906%,39.83%,"76,451",00:02:55,4.95,39.17%,
443392,fritzing.org,0.003551191%,15.66%,"81,261",00:02:52,2.52,45.44%,Yes
253432,rethinkdb.com,0.003550130%,42.49%,"155,171",00:03:39,3.00,49.36%,
244876,kashoo.com,0.003544616%,4.16%,"72,077",00:05:51,9.83,37.82%,
137878,treering.com,0.003539920%,-12.80%,"107,755",00:05:53,6.34,29.09%,
464006,ine.com,0.003539360%,-19.95%,"53,932",00:03:53,3.02,38.82%,
194393,sodexhomail.com,0.003523742%,-2.31%,"81,873",00:07:49,15.46,4.07%,
218622,alice.org,0.003523734%,8.72%,"135,817",00:02:40,2.87,27.66%,
184402,avadirect.com,0.003515394%,-0.86%,"130,080",00:03:34,3.07,45.92%,
863132,templatemo.com,0.003510432%,32.01%,"37,502",00:03:47,6.99,40.85%,
726553,gnotes.me,0.003500973%,-31.49%,"38,991",00:06:45,5.04,15.74%,
394307,piqora.com,0.003498868%,-27.07%,"56,285",00:04:53,3.85,48.50%,
391569,dexpot.de,0.003495868%,1.41%,"93,888",00:02:41,2.82,28.28%,
353020,3dcontentcentral.com,0.003490002%,19.08%,"63,811",00:04:34,7.77,29.13%,Yes
304268,tagcrowd.com,0.003489418%,-2.87%,"99,849",00:02:59,3.29,24.93%,
1738956,bibliocad.com,0.003489224%,-0.12%,"14,243",00:03:55,7.17,30.97%,Yes
242474,g-technology.com,0.003475174%,-6.38%,"98,043",00:02:57,4.28,40.41%,
666156,emsisoft.com,0.003439245%,15.10%,"59,974",00:02:59,3.34,40.46%,
Estimated Visits,codemirror.net,0.003438687%,19.33%,86,650,00:04:12,3.48,50.05%,
441596,ghostscript.com,0.003432978%,3.89%,"86,814",00:02:55,3.10,30.38%,
505846,net2ftp.com,0.003413719%,14.02%,"51,286",00:07:54,10.11,36.59%,Yes
193308,pivotdesk.com,0.003405466%,55.75%,"205,174",00:03:34,4.89,35.06%,
311450,soundspectrum.com,0.003385904%,15.76%,"95,575",00:02:59,6.11,41.44%,
620650,umbraco.com,0.003381100%,12.25%,"68,609",00:03:43,3.15,48.14%,
383529,gynzy.com,0.003348212%,-13.28%,"44,104",00:07:51,7.84,34.40%,
228078,unitrends.com,0.003344857%,-21.79%,"108,743",00:02:49,2.69,49.16%,
266453,boincstats.com,0.003341601%,12.42%,"122,089",00:03:59,3.39,46.77%,Yes
154534,co-construct.com,0.003339849%,26.99%,"145,360",00:23:39,10.15,13.89%,
158551,findery.com,0.003326653%,53.60%,"179,747",00:03:46,5.05,49.76%,
507876,marvell.com,0.003316231%,33.22%,"52,741",00:03:48,5.59,40.07%,
114591,applicationstation.com,0.003308835%,12.50%,"108,115",00:19:51,24.38,8.45%,
513643,talend.com,0.003301060%,36.55%,"66,277",00:03:49,3.16,49.57%,
356433,baicizhan.com,0.003255354%,43.98%,"89,712",00:09:40,3.04,16.44%,
346618,paperjs.org,0.003243437%,40.86%,"72,360",00:04:37,6.85,31.60%,
338356,kivy.org,0.003242440%,39.01%,"88,099",00:08:53,4.39,37.55%,
433424,macbb.org,0.003194951%,2.75%,"84,949",00:06:36,6.52,6.72%,
312023,joomlapolis.com,0.003171995%,20.62%,"100,645",00:05:57,7.85,44.91%,
166415,netsimplicity.net,0.003124372%,5.19%,"127,091",00:11:39,7.76,11.55%,
282993,wijmo.com,0.003120526%,43.23%,"100,952",00:05:59,5.00,35.78%,
386172,lifesize.com,0.003119411%,-20.86%,"91,742",00:03:45,3.83,43.68%,
150159,surveymethods.com,0.003054202%,16.63%,"123,748",00:03:59,6.36,35.10%,
162213,trackyourhappiness.org,0.003011013%,-17.55%,"83,710",00:03:35,12.42,19.16%,
153400,sumo.fm,0.002991641%,28.59%,"186,708",00:02:53,3.12,32.91%,Yes
183030,webgility.com,0.002971360%,-9.03%,"118,144",00:02:51,3.48,43.99%,
2061459,damasgate.com,0.002923311%,-16.02%,"20,702",00:04:45,2.82,50.60%,
Estimated Visits,labtechsoftware.com,0.002920537%,12.81%,105,682,00:02:11,2.74,54.23%,
329456,twiddla.com,0.002912373%,-14.97%,"74,159",00:06:47,5.98,28.76%,
571420,loadimpact.com,0.002880823%,23.96%,"68,914",00:04:56,4.22,40.61%,
250146,survs.com,0.002874456%,68.55%,"156,509",00:04:42,2.92,38.90%,
153964,pose.com,0.002874064%,13.86%,"169,341",00:02:37,3.58,41.58%,Yes
97172,pbisassessment.org,0.002864677%,59.86%,"303,760",00:06:43,3.69,7.99%,
793675,filechoco.com,0.002834699%,-35.67%,"38,828",00:02:54,2.71,39.87%,
453191,openframeworks.cc,0.002815236%,29.17%,"81,451",00:04:31,2.75,47.28%,
254764,snort.org,0.002795642%,58.41%,"120,626",00:03:32,3.27,44.55%,
301344,qnx.com,0.002760369%,22.38%,"90,153",00:03:39,3.03,44.70%,
238167,food4rhino.com,0.002732186%,11.94%,"115,396",00:05:37,4.23,41.59%,
426770,stackideas.com,0.002732029%,8.65%,"65,278",00:05:46,4.47,37.60%,
175295,qonlinepractice.com,0.002723830%,-14.88%,"116,629",00:05:53,4.37,7.36%,
138307,awprotools.com,0.002723088%,54.75%,"239,233",00:04:36,2.88,38.81%,
6144750,download.com.vn,0.002694203%,-8.51%,"5,776",00:02:51,3.32,35.19%,Yes
Estimated Visits,techyv.com,0.002694196%,11.34%,150,399,00:00:40,1.40,83.00%,Yes
442997,centrify.com,0.002681416%,-17.64%,"61,050",00:02:51,3.88,49.81%,
156903,paydotcom.com,0.002662562%,10.84%,"129,318",00:02:57,3.71,42.96%,
277711,slideteam.net,0.002644845%,3.32%,"90,818",00:03:33,5.42,42.44%,
174394,editthis.info,0.002634165%,32.21%,"73,691",00:10:55,43.39,32.36%,Yes
317730,netrenderer.com,0.002632654%,14.46%,"98,301",00:03:38,3.87,17.82%,Yes
356411,dbpoweramp.com,0.002632026%,-27.03%,"73,337",00:02:35,2.75,47.36%,
774150,3dmodelfree.com,0.002631738%,7.05%,"31,842",00:02:38,4.65,45.74%,
96215,schedulebase.com,0.002627270%,-16.10%,"198,426",00:03:44,4.19,14.71%,
228635,okidata.com,0.002626877%,13.31%,"112,540",00:02:45,3.08,40.31%,
213061,teamdynamix.com,0.002625843%,32.25%,"77,226",00:13:38,8.36,26.24%,
270878,ezetop.com,0.002590250%,-23.15%,"70,231",00:06:48,6.15,22.68%,
145105,letterheadfonts.com,0.002589405%,15.29%,"168,474",00:02:55,4.33,49.58%,
95826,squishlist.com,0.002580298%,109.07%,"172,165",00:10:49,5.64,11.24%,
521767,routerboard.com,0.002576331%,10.52%,"76,095",00:03:45,2.52,48.85%,
236340,plivo.com,0.002564547%,-17.49%,"91,533",00:03:41,2.98,42.71%,
125539,cloudsdale.org,0.002562196%,-5.06%,"85,270",00:23:45,50.29,19.49%,
193949,proworkflow.com,0.002554225%,20.21%,"120,615",00:03:38,7.30,41.77%,
702667,schedulesource.com,0.002546429%,23.32%,"47,615",00:02:53,4.45,10.04%,
178788,samtec.com,0.002546291%,9.41%,"150,720",00:03:55,3.62,43.85%,
244701,financialforce.com,0.002544995%,30.27%,"121,521",00:04:56,3.38,47.44%,
97401,appointmate.com,0.002542947%,3.18%,"173,265",00:05:38,10.98,4.65%,
116952,allclients.com,0.002538635%,-8.60%,"124,247",00:08:55,10.33,19.96%,
101880,malabs.com,0.002513606%,5.15%,"203,051",00:04:50,5.22,27.35%,
144067,accessdata.com,0.002512139%,-9.40%,"177,326",00:03:46,3.24,38.20%,
114037,sococo.com,0.002497542%,18.75%,"236,429",00:03:51,2.85,46.97%,
361008,jqplot.com,0.002494078%,5.09%,"80,369",00:04:42,4.94,45.67%,
178217,macserialjunkie.com,0.002488182%,-60.28%,"58,324",00:03:57,5.00,32.34%,
207863,skipsoft.net,0.002486084%,16.58%,"152,434",00:04:41,3.61,21.35%,Yes
185556,sharedesk.net,0.002472323%,-6.77%,"104,034",00:07:43,9.25,34.84%,
Estimated Visits,linuxproblem.org,0.002472253%,32.81%,254,488,00:00:33,1.02,90.41%,
