Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
1399328,youtubeinmp3.com,0.003035573%,6.19%,"23,860",00:03:46,3.03,42.49%,
511983,procatinator.com,0.003031704%,304.00%,"160,146",00:03:33,8.28,39.66%,
405895,toonzone.net,0.002979931%,-37.62%,"58,551",00:02:55,4.05,46.98%,Yes
439908,swearnet.com,0.002963341%,4.56%,"59,480",00:05:41,5.28,34.53%,
300663,bandmix.com,0.002956697%,5.55%,"74,008",00:04:52,7.53,49.87%,Yes
Estimated Visits,atlnightspots.com,0.002955917%,-12.42%,66,638,00:02:07,3.01,60.18%,
334352,forbezdvd.com,0.002917828%,-28.03%,"70,461",00:04:58,3.26,32.01%,
2585520,elgenero.com,0.002911618%,-18.24%,"12,456",00:05:33,2.80,41.07%,Yes
888260,alofokemusic.net,0.002890991%,-4.59%,"41,455",00:04:58,3.62,30.98%,
310743,bayphoto.com,0.002873791%,14.77%,"80,349",00:04:34,4.55,35.34%,
269806,joeeitel.com,0.002861734%,66.56%,"73,540",00:06:52,17.20,6.42%,
552928,masterchan.org,0.002851361%,-18.15%,"33,460",00:07:48,8.69,26.28%,
9867972,weeb.tv,0.002791170%,-21.35%,"2,626",00:04:57,3.21,14.49%,
687999,mp3va.com,0.002788985%,10.31%,"34,114",00:05:39,10.43,37.89%,
710097,wigflip.com,0.002773390%,15.18%,"48,429",00:03:48,4.53,25.04%,Yes
845761,ragalahari.com,0.002761615%,30.36%,"25,429",00:04:36,13.11,13.64%,Yes
1463268,imagechef.com,0.002724154%,-14.19%,"17,523",00:04:42,6.76,41.56%,Yes
377321,artisanstate.com,0.002704543%,-5.44%,"63,707",00:03:58,4.47,41.36%,
427788,toondoo.com,0.002682303%,3.96%,"61,730",00:05:39,4.50,39.81%,
Estimated Visits,foofighters.com,0.002680789%,228.03%,64,983,00:00:47,1.26,72.60%,
311614,myprepaidcenter.com,0.002680280%,-14.17%,"68,720",00:03:35,4.42,12.95%,
409006,curvage.org,0.002663000%,33.64%,"55,559",00:07:42,13.86,13.87%,
388737,hipstrumentals.com,0.002658350%,1.07%,"60,516",00:04:52,5.31,38.31%,Yes
5206124,peliculasmas.com,0.002653052%,-24.31%,"4,769",00:02:35,6.35,31.06%,
1788250,mtv.com.lb,0.002635286%,36.37%,"27,027",00:04:54,3.04,38.88%,Yes
4685161,8comic.com,0.002622980%,26.59%,"7,949",00:02:33,3.16,38.60%,Yes
247139,studiosystem.com,0.002614675%,38.87%,"118,225",00:07:52,7.05,13.29%,
1185270,freecovers.net,0.002614347%,-4.69%,"19,553",00:05:32,7.58,20.30%,
401862,mangayes.com,0.002579039%,13.03%,"34,502",00:14:33,33.75,25.00%,
440552,telepisodes.com,0.002567331%,25.47%,"71,099",00:03:46,5.94,15.96%,
28399441,filmweb.pl,0.002558436%,6.34%,726,00:02:59,4.53,49.80%,
1515090,freedesignfile.com,0.002554928%,12.64%,"18,567",00:02:41,8.39,48.90%,Yes
1274511,livingelectro.com,0.002551035%,25.72%,"26,059",00:03:46,4.26,43.75%,
7969919,submanga.com,0.002549826%,10.03%,"1,771",00:10:47,17.80,35.49%,
Estimated Visits,webresizer.com,0.002544657%,18.57%,41,070,00:02:58,5.10,22.18%,Yes
3682417,cineplex.com,0.002534617%,76.77%,"9,326",00:02:42,3.70,30.77%,Yes
250521,columbiahouse.com,0.002532957%,-15.57%,"69,918",00:03:54,5.08,13.27%,
15421654,muzofon.com,0.002515306%,-25.08%,"1,765",00:05:49,6.16,35.00%,
238926,macslist.org,0.002512525%,50.84%,"160,971",00:02:49,2.71,43.87%,
4863309,subtorrents.com,0.002505248%,-3.27%,"7,111",00:05:33,5.16,27.67%,
428748,listube.com,0.002497162%,6.13%,"81,605",00:06:35,2.56,42.45%,Yes
713708,opengameart.org,0.002495336%,34.80%,"43,290",00:04:34,8.95,39.61%,
647038,anime-exceed.com,0.002487473%,-14.28%,"54,072",00:07:48,3.94,34.10%,
1161264,browncardigan.com,0.002473459%,41.01%,"40,032",00:03:53,4.27,41.22%,
1361927,subtitle.co.il,0.002470572%,43.48%,"31,704",00:02:43,4.64,28.06%,Yes
1759206,cat3movie.us,0.002465151%,-15.36%,"15,730",00:09:40,8.81,31.37%,
5062352,seriesbang.net,0.002460586%,0.51%,"10,524",00:05:45,3.69,30.59%,Yes
332939,popthatzit.com,0.002418530%,-16.19%,"71,536",00:06:42,5.93,38.84%,
353338,mautam.net,0.002402797%,8.13%,"53,136",00:10:42,12.86,12.97%,
257075,canvasondemand.com,0.002385409%,-3.46%,"76,642",00:05:49,6.20,24.88%,
1562941,krautchan.net,0.002377677%,16.26%,"15,140",00:17:49,21.10,21.25%,
226668,blackandmild.com,0.002371986%,-25.60%,"83,638",00:04:52,3.55,34.56%,
228124,yorkphoto.com,0.002359120%,35.76%,"106,165",00:08:37,8.24,24.23%,
841325,flixpress.com,0.002358114%,6.20%,"23,663",00:09:57,10.34,26.20%,
396705,musicxray.com,0.002319209%,-9.46%,"52,382",00:04:31,5.06,39.46%,
Estimated Visits,cinemax.com,0.002319005%,-24.93%,76,123,00:01:11,2.49,44.41%,
316343,epixhd.com,0.002310735%,-31.48%,"54,123",00:02:54,3.63,45.24%,
417840,stupidvideos.com,0.002294101%,13.49%,"48,955",00:06:33,13.17,30.31%,
487501,bestanimes.tv,0.002286309%,11.58%,"52,901",00:05:48,5.17,34.48%,
9582904,cuantarazon.com,0.002281851%,-27.09%,"2,994",00:07:32,4.61,41.63%,Yes
235578,robly.com,0.002279227%,0.47%,"74,654",00:12:47,13.23,45.87%,
10738952,plotek.pl,0.002267369%,-2.91%,"2,407",00:03:43,5.81,43.07%,
1760654,vkool.net,0.002257946%,15.45%,"18,710",00:05:57,4.32,20.89%,
478561,yourlisten.com,0.002255574%,13.12%,"74,307",00:03:46,2.98,41.41%,
405527,fogu.com,0.002246226%,10.60%,"76,336",00:08:33,5.06,39.79%,Yes
417731,tascam.com,0.002232500%,6.63%,"74,952",00:02:54,3.41,45.06%,
296007,ezimba.com,0.002231782%,11.70%,"81,121",00:03:43,5.94,50.33%,
13755400,orf.at,0.002231628%,-33.15%,"2,096",00:03:46,2.83,40.16%,
241972,poppinmedia.com,0.002225302%,-12.10%,"91,365",00:05:54,4.15,34.33%,
308954,rangerboard.com,0.002223840%,25.04%,"93,603",00:08:31,6.31,25.63%,Yes
4808044,worldfree4u.com,0.002214518%,6.98%,"6,981",00:04:59,5.80,30.67%,
583551,anime4you.com,0.002205058%,12.91%,"62,495",00:09:57,4.19,42.87%,
275253,rondomusic.com,0.002201443%,23.54%,"81,542",00:04:50,8.14,29.16%,Yes
327654,ncarb.org,0.002199720%,26.04%,"68,399",00:03:58,3.68,49.64%,
357513,joovideo.tv,0.002195305%,-14.62%,"86,552",00:08:49,3.12,27.02%,
401139,astrolis.com,0.002178000%,15.76%,"71,147",00:03:50,4.34,28.89%,Yes
767760,roland.com,0.002176946%,8.57%,"43,538",00:02:47,3.28,49.11%,
Estimated Visits,tvshowtime.com,0.002176749%,28.96%,26,371,00:02:15,3.79,52.89%,
824031,file2hd.com,0.002166689%,-5.88%,"37,014",00:05:44,4.20,13.97%,
669401,mediabang.org,0.002164164%,-12.19%,"36,616",00:03:54,5.31,47.32%,
2146633,dizihdtv.net,0.002160244%,32.24%,"15,406",00:10:35,8.90,30.15%,
277378,makebeliefscomix.com,0.002150189%,-4.16%,"96,804",00:05:50,3.17,31.30%,Yes
840816,animetosho.org,0.002131087%,-26.08%,"39,703",00:05:45,3.46,40.53%,
1355857,filmlinks4u.net,0.002121551%,-10.36%,"22,864",00:03:39,3.00,42.02%,
2202891,natabanu.com,0.002120366%,-23.56%,"12,628",00:04:55,2.73,28.91%,Yes
942911,shwedream.com,0.002102805%,-11.07%,"32,129",00:04:55,4.79,33.38%,Yes
703268,fullrip.net,0.002094745%,-0.58%,"30,861",00:08:54,9.11,26.11%,
460323,animeonhand.com,0.002077356%,-22.40%,"63,554",00:12:43,7.84,32.14%,
198108,phishtracks.com,0.002072927%,50.01%,"107,971",00:34:50,8.76,19.70%,
246219,xreader.net,0.002067874%,44.52%,"58,029",00:06:33,37.45,42.02%,
4540698,somosmovies.com,0.002058769%,-10.26%,"8,514",00:04:40,3.15,27.22%,
457431,imagebrief.com,0.002058192%,17.05%,"68,035",00:08:56,6.40,30.50%,
6144133,tamilrockers.net,0.002049593%,-8.18%,"6,049",00:02:53,3.21,30.64%,
2741208,hdvietnam.com,0.002044221%,10.42%,"9,657",00:04:52,4.91,39.36%,Yes
9447516,rai.tv,0.002032289%,20.16%,"3,790",00:05:39,4.23,45.99%,
Estimated Visits,mishkanyc.com,0.002028777%,23.98%,83,605,00:02:55,5.87,43.75%,
397345,jinni.com,0.002002246%,33.16%,"64,105",00:07:45,13.50,17.80%,
284605,ufreetv.com,0.001985558%,31.85%,"121,722",00:05:38,3.54,41.22%,
527471,shwevideos.net,0.001972827%,-16.35%,"48,660",00:05:41,3.85,28.13%,Yes
259008,fivestars.com,0.001972243%,8.90%,"89,051",00:04:31,3.69,35.27%,
1322804,southpark.nl,0.001957702%,94.75%,"48,665",00:06:46,3.57,28.76%,
184831,cashortrade.org,0.001952113%,171.31%,"218,217",00:06:51,8.50,21.81%,
343088,wantable.com,0.001950793%,20.94%,"93,815",00:02:43,4.07,42.61%,
227700,nyphil.org,0.001942615%,8.63%,"75,702",00:03:54,5.44,36.20%,
321205,engrish.com,0.001942118%,22.54%,"91,831",00:04:54,5.04,46.54%,Yes
16028764,vbox7.com,0.001932609%,-10.25%,"1,599",00:03:57,2.93,49.77%,
501823,otaku-streamers.com,0.001929174%,34.17%,"66,317",00:07:52,4.51,41.42%,
3343259,genteflow.com,0.001928431%,-15.72%,"7,349",00:04:56,3.98,44.96%,
287734,mwlists.com,0.001910997%,17.04%,"135,473",00:02:53,2.78,50.52%,
Estimated Visits,crzplay.com,0.001910480%,-26.58%,48,351,00:01:04,0.95,68.48%,
199658,opry.com,0.001903768%,-16.99%,"113,601",00:03:49,3.38,36.22%,
233142,wireimage.com,0.001900905%,-20.43%,"71,354",00:03:45,6.25,42.46%,
2590170,photoshelter.com,0.001899345%,29.03%,"12,477",00:04:56,6.74,33.13%,
319873,comicbt.com,0.001895962%,5.36%,"80,907",00:03:58,5.33,36.45%,
845596,hot.net.il,0.001892456%,-5.38%,"37,377",00:03:35,3.79,49.08%,
454764,wikiseda.com,0.001860724%,-35.71%,"44,978",00:07:50,4.99,39.65%,Yes
5587429,caras.uol.com.br,0.001851673%,59.38%,"4,658",00:06:56,8.22,17.47%,Yes
2896373,miradetodo.com.ar,0.001846703%,-2.94%,"12,110",00:05:48,4.40,27.07%,
183227,printerpix.com,0.001837248%,-1.70%,"94,280",00:07:32,7.74,22.43%,
892232,bangumi.tv,0.001834000%,41.90%,"35,074",00:05:55,9.60,42.63%,
506889,ibanez.co.jp,0.001824340%,1.42%,"41,290",00:04:34,8.68,25.80%,
250173,ponysquare.com,0.001786469%,-1.30%,"86,118",00:10:42,5.99,33.95%,
210890,concertvault.com,0.001776431%,16.39%,"122,864",00:04:52,4.56,45.50%,
1439491,radionomy.com,0.001774672%,-13.00%,"17,176",00:03:55,3.00,45.02%,
1112982,lacasting.com,0.001773795%,7.26%,"18,182",00:10:32,11.89,47.80%,
Estimated Visits,933flz.com,0.001773375%,-24.65%,110,012,00:02:22,4.30,69.74%,
226714,skitguys.com,0.001760398%,-5.85%,"98,759",00:04:32,4.56,47.01%,
181594,bwcinema.com,0.001757902%,-0.65%,"117,683",00:03:35,4.75,18.83%,
198047,dokuga.com,0.001756250%,15.85%,"108,533",00:11:49,6.60,43.30%,
165806,movietavern.com,0.001756128%,12.39%,"172,837",00:02:35,3.27,12.56%,
214558,seussville.com,0.001755590%,-15.30%,"98,491",00:03:58,3.70,46.57%,
284074,dreamself.me,0.001749144%,17.42%,"107,174",00:11:38,5.12,39.23%,
495677,animewow.tv,0.001746858%,82.53%,"65,213",00:12:34,5.58,46.09%,
1318651,koreayh.com,0.001746599%,-28.25%,"29,155",00:03:59,3.64,24.68%,
245061,thismight.be,0.001740460%,30.66%,"72,323",00:13:41,22.61,10.94%,
1502217,go8pm.com,0.001739302%,-11.49%,"21,004",00:18:49,4.82,18.98%,
224994,comicspriceguide.com,0.001737108%,6.39%,"96,851",00:07:54,7.95,28.23%,Yes
345560,hellaclips.com,0.001735062%,38.74%,"69,537",00:05:51,14.18,32.46%,Yes
313908,tothebestof.com,0.001734993%,77.01%,"169,056",00:03:54,2.58,20.51%,
177981,ilovefreethings.com,0.001734354%,22.56%,"149,019",00:03:43,4.26,45.26%,Yes
397620,animeget.net,0.001731521%,74.88%,"83,867",00:14:40,4.47,42.34%,
344245,celebfanforum.com,0.001726263%,-24.65%,"57,804",00:02:56,5.86,30.62%,
172143,bellababyphotography.com,0.001723492%,8.74%,"122,806",00:07:41,6.41,26.88%,
893759,ibollytv.com,0.001719478%,-13.91%,"37,454",00:02:41,2.57,44.42%,
588882,moridim.me,0.001713259%,159.85%,"75,837",00:02:55,4.03,43.72%,
184094,zipadeezip.com,0.001712768%,49.43%,"137,788",00:03:53,7.60,31.55%,
396064,toontrack.com,0.001701241%,11.02%,"80,054",00:04:46,3.86,42.17%,
302499,seesantv.com,0.001701159%,-20.74%,"76,996",00:06:58,4.26,15.35%,
469318,realmpop.com,0.001697361%,,"117,763",00:02:34,2.55,36.72%,
220279,smstracker.com,0.001685531%,-20.12%,"73,752",00:17:33,13.43,5.94%,
206499,podsnack.com,0.001681431%,-1.72%,"88,918",00:07:56,8.24,30.74%,
Estimated Visits,photoventure.com,0.001680784%,51.59%,85,003,00:03:17,4.07,42.05%,
514388,mixify.com,0.001680391%,43.65%,"86,537",00:04:34,2.79,50.43%,
172416,urbancliq.com,0.001677456%,29.20%,"83,363",00:12:37,11.22,17.28%,
866712,erosnow.com,0.001674391%,-20.10%,"35,227",00:02:43,3.67,40.77%,
175762,blabberize.com,0.001672949%,85.89%,"207,705",00:06:50,6.20,32.90%,Yes
658829,ik88tv.com,0.001669719%,-37.88%,"32,946",00:04:58,4.18,36.97%,Yes
255323,xclusiveszone.net,0.001638493%,35.65%,"136,738",00:02:58,3.27,36.79%,
13028751,joemonster.org,0.001637336%,8.23%,"1,586",00:10:56,6.35,27.78%,Yes
284299,blip.fm,0.001634651%,-14.40%,"75,967",00:20:51,16.25,38.61%,
5732374,cuatro.com,0.001628507%,0.25%,"6,703",00:08:32,3.00,49.44%,
376432,mackie.com,0.001627934%,13.53%,"91,727",00:02:58,3.22,46.23%,
1350231,malvin.tv,0.001620898%,145.69%,"23,043",00:06:38,4.50,20.09%,
1144519,yande.re,0.001617388%,-12.40%,"16,437",00:04:34,10.74,35.70%,
1115164,iplusfree.com,0.001616328%,24.93%,"37,861",00:03:52,3.88,49.91%,
3896360,thiendia.com,0.001612471%,24.76%,"3,834",00:12:31,19.10,25.37%,
187930,playscripts.com,0.001609017%,12.76%,"114,115",00:03:33,5.10,45.37%,
164513,dollywood.com,0.001605417%,15.95%,"135,641",00:03:34,4.60,31.25%,
169307,picturepeople.com,0.001602596%,30.48%,"154,070",00:02:53,4.86,25.71%,
217152,beatlab.com,0.001601223%,-27.75%,"93,671",00:04:39,4.58,49.54%,
Estimated Visits,jeditemplearchives.com,0.001600881%,16.43%,200,492,00:02:03,3.13,53.57%,Yes
630479,youpic.com,0.001600856%,6.81%,"46,678",00:07:57,6.47,19.67%,
632436,cinevedika.net,0.001593561%,10.85%,"65,972",00:04:43,2.79,32.13%,
671752,divshare.com,0.001592708%,8.34%,"44,492",00:02:56,2.95,40.21%,
421597,freerangestock.com,0.001590347%,13.71%,"63,362",00:03:52,7.07,26.67%,Yes
321007,music-map.com,0.001584016%,46.96%,"110,764",00:03:33,3.98,20.65%,Yes
214509,poetv.com,0.001570447%,10.39%,"132,617",00:06:35,4.63,41.51%,Yes
289280,crowdsurge.com,0.001553495%,111.29%,"123,472",00:05:58,4.84,38.63%,
201448,clearvoice.com,0.001552897%,12.07%,"118,250",00:05:56,6.11,39.00%,
210739,prowrestlingscoops.com,0.001552805%,8.51%,"144,985",00:03:42,2.53,36.18%,
